"Title","Page","URL"
﻿"After the Jump","https://itunes.apple.com/us/podcast/after-the-jump/id523653429","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Afternoons with Pippa Hudson","https://itunes.apple.com/us/podcast/afternoons-with-pippa-hudson/id1212305649","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Against The Grain Podcast","https://itunes.apple.com/us/podcast/against-the-grain-podcast/id1273722751","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Agile and Beyond","https://itunes.apple.com/us/podcast/agile-and-beyond/id1114414393","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"AIAS Audio Experience","https://itunes.apple.com/us/podcast/aias-audio-experience/id1282586545","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"AIAS Podcasts","https://itunes.apple.com/us/podcast/aias-podcasts/id269340635","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Aikštėje","https://itunes.apple.com/us/podcast/aik%C5%A1t%C4%97je/id1046549826","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Aktys, les tableaux de flammes","https://itunes.apple.com/us/podcast/aktys-les-tableaux-de-flammes/id313245855","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Alex Anderson Quilt Connection","https://itunes.apple.com/us/podcast/alex-anderson-quilt-connection/id120948493","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
﻿"Alex Holland Design Podcast","https://itunes.apple.com/us/podcast/alex-holland-design-podcast/id921198752","https://itunes.apple.com/us/genre/podcasts-arts-design/id1402?mt=2&letter=A&page=1"
